title,desc,items_needed
"""Dark Souls""","""Find and examine blood stains in this Realm to find out the cause of their owner's death.""","""Blood Stains Examined"""
"""Where Do Creatures Come From?""","""Use the 'Extract' command on a creature in battle to receive its Core.""",""""""
"""Pleased to Meet You... Again""","""Seek out the Altar of "" + scr_GodName(scr_BiomeGod(global.biome), false) + "".""",""""""
"""A Proper Introduction""","""Speak with the Blacksmith in "" + global.castlename + "".""",""""""
"""Clang, Clang, Clang""","""Use the Blacksmith to 'Craft' or 'Forge' a new Artifact.""",""""""
"""A Triumphant Return""","""Return to "" + global.castlename + "" and speak with Ilberd.""",""""""
"""Break It Down""","""Find the source of the girly screams.""",""""""
"""Questions Left Unanswered""","""Return to "" + global.castlename + "" and speak with Ilberd.""",""""""
"""Enchanted to Meet You""","""Find and speak with the Enchanter somewhere in this Realm.""",""""""
"""The Itherian World""","""Speak with Desiderata in "" + global.castlename + "".""",""""""
"""Piecing It Together""","""Collect all the pages to complete the Runic Grimoire.""","""Runic Pages"""
"""Hate By Design""","""Collect all the pages to complete the Pyro Grimoire.""","""Pyro Pages"""
"""Trashed and Scattered""","""Collect all the pages to complete the Necro Grimoire.""","""Necro Pages"""
"""All In Due Time""","""Collect all the pages to complete the Forbidden Grimoire.""","""Forbidden Pages"""
"""Drowning Your Sorrows""","""Collect all the pages to complete the Faded Grimoire.""","""Faded Pages"""
"""Triumph Through Tragedy""","""Collect all the pages to complete the Ancient Grimoire.""","""Ancient Pages"""
"""A Necessary Evil""","""Return to "" + global.castlename + "" and speak with Ilberd.""",""""""
"""Defying Gluttony""","""Obtain a Blood Slime and give it to the Bringer of Gluttony.""",""""""
"""Defying Greed""","""Obtain a Diamond Imling and give it to the Bringer of Greed.""",""""""
"""Defying Sloth""","""Obtain a Colossal Giant and give it to the Bringer of Sloth.""",""""""
"""Defying Wrath""","""Obtain a Carnage Destructor and give it to the Bringer of Wrath.""",""""""
"""Defying Envy""","""Obtain a Doom Devil and give it to the Bringer of Envy.""",""""""
"""Defying Pride""","""Obtain a Terror Hound and give it to the Bringer of Pride.""",""""""
"""Embracing Chastity""","""Obtain a Priest Vizier and give it to the Bringer of Chastity.""",""""""
"""Embracing Temperance""","""Obtain a Holy Crusader and give it to the Bringer of Temperance.""",""""""
"""Embracing Charity""","""Obtain a Unicorn Holycaster and give it to the Bringer of Charity.""",""""""
"""Embracing Diligence""","""Obtain a Diabolic Insurgent and give it to the Bringer of Diligence.""",""""""
"""Embracing Patience""","""Obtain a Forest Gargantuan and give it to the Bringer of Patience.""",""""""
"""Embracing Humility""","""Obtain a Valkyrie Shieldmaiden and give it to the Bringer of Humility.""",""""""
"""Embracing Kindness""","""Obtain a Mithril Imler and give it to the Bringer of Kindness.""",""""""
"""Enchanted Armaments""","""Speak with Angela in "" + global.castlename + "".""",""""""
"""First Time For Everything""","""Enchant one of your Artifacts.""",""""""
"""Start of the End""","""Speak with Ilberd.""",""""""
"""The Final Wink""","""Defeat the boss at Realm Depth 3.""",""""""
"""Uncomfortable Gaze""","""Defeat the boss at Realm Depth 6.""",""""""
"""Slash and Burn""","""Defeat the boss at Realm Depth 9.""",""""""
"""The Crown Jewel""","""Defeat the boss at Realm Depth 12.""",""""""
"""An Urgent Request""","""Speak with Polio in "" + global.castlename + "".""",""""""
"""The Deathlord""","""Search for the cause of the commotion in this Realm.""",""""""
"""Deathlord Who?""","""Return to Polio in "" + global.castlename + "" and tell him the good news.""",""""""
"""Corrupted Enchantress""","""Defeat the boss at Realm Depth 15.""",""""""
"""A Traumatic Moment""","""Speak with Ilberd in "" + global.castlename + "".""",""""""
"""Back From The Dead""","""Defeat the boss at Realm Depth 18.""",""""""
"""Intoxicated""","""Defeat the boss at Realm Depth 21.""",""""""
"""A New Profession""","""Search for the endangered old-timer in this Realm.""",""""""
"""Creature Mills""","""To learn about breeding, speak with Benjamin in the Stables at "" + global.castlename + "".""",""""""
"""Hangover Overwhelming""","""Speak with Furness in "" + global.castlename + "".""",""""""
"""The Ancient One""","""Defeat the boss at Realm Depth 24.""",""""""
"""Unwanted Advances""","""Defeat the boss at Realm Depth 27.""",""""""
"""Mind Games""","""Defeat the boss at Realm Depth 30.""",""""""
"""Plot Twist""","""Defeat the boss at Realm Depth 33.""",""""""
"""Source of Corruption""","""Defeat the boss at Realm Depth 36.""",""""""
"""Your Inner Demons""","""Defeat the boss at Realm Depth 39.""",""""""
"""Back With Vengeance""","""Defeat the boss at Realm Depth 42.""",""""""
"""Sever the Hand""","""Defeat the boss at Realm Depth 44.""",""""""
"""Wrath""","""End this war once and for all.""",""""""
"""New Technology""","""Collect Iron Ingots from Realms in order to upgrade the Blacksmith.""","""Iron Ingots"""
"""Golden Age""","""Collect Gold Ingots from Realms in order to upgrade the Blacksmith.""",""""""
"""Rescue Mission""","""Find whoever wrote the letter and rescue them.""",""""""
"""Cracking the Code""","""Speak with Desiderata in "" + global.castlename + "".""",""""""
"""Hide-n-Seek""","""Find the four dwarves hiding in this Realm.""","""Dwarves"""
"""Mind Control""","""Speak with Ilberd.""",""""""
"""End Transmission""","""Speak with Ilberd.""",""""""
"""Preparations""","""Speak with Ilberd.""",""""""
"""Sullen Horizon""","""Speak with Ilberd.""",""""""
"""Epilogue""","""Speak with Ilberd.""",""""""
"""Prophecies""","""Speak with Elize the Prophet in the northern-most part of "" + global.castlename + "", near the Summoning Brazier.""",""""""
"""Hate, and Other Triumphs""","""Search for a Nether Orb at Realm Depth 31.""",""""""
"""Unguided We Stand""","""Speak with Hebron.""",""""""
"""Judgment and Mercy""","""Search for a Nether Orb at Realm Depth 35.""",""""""
"""Promise of Reward""","""Speak with Torun in "" + global.castlename + "".""",""""""
"""The Best Deal Ever""","""Purchase the surprise from Torun for 100,000 of each resource.""",""""""
"""To End the Rapture""","""Congratulations on your victory! Speak with Damaos.""",""""""
"""Your Nemesis""","""Defeat Nemesis Creatures in this Realm to ensure the safety of "" + global.castlename + ""'s people.""","""Nemeses Defeated"""
"""A Formidable Opponent""","""Kill a Renegade in this Realm.""",""""""
"""Cull the Rebellion""","""Kill a rebel in this Realm.""",""""""
"""Riddle Me These""","""Attempt Stoyakoff the Riddle Dwarf's riddles.""","""Riddles Attempted"""
"""Cleaning Day""","""Scrape together the green goo on the floor until they congeal into Slimes. Then, kill them.""","""Slime Packs Killed"""
"""Cursed Phylactery""","""Activate the Cursed Phylactery in this Realm and defeat the enemies it spawns.""","""Invaders Defeated"""
"""But Why Was It Moving?""","""Activate the Haunted Chest in this Realm and defeat the enemies it spawns.""","""Invaders Defeated"""
"""Lonely Spirit""","""Find the Lost Soul in this Realm and return it to its Cursed Phylactery.""",""""""
"""Tartarith Would Be Proud""","""Defeat an enemy, then take its corpse to a Cursed Phylactery.""",""""""
"""Pollin Season""","""Collect sunflowers in this Realm.""","""Sunflowers Collected"""
"""Total Carnage""","""Destroy Pinwheels in this Realm to show everyone how powerful you are.""","""Pinwheels Annihilated"""
"""Total Carnage""","""Destroy flags in this Realm. They're bad for the environment.""","""Flags Destroyed"""
"""The Missing Links""","""Thaw and kill the frozen Yeti families in this Realm.""","""Yeti Families Killed"""
"""To Kill Again""","""Unearth Mummies from their graves and kill them.""","""Mummy Packs Killed"""
"""First, Peanut Butter. Next...""","""Collect jellyfish from this Realm.""","""Jellyfish Collected"""
"""A Cruel Fate""","""Crack open the dragon eggs in this Realm.""","""Slaughters"""
"""But Why?""","""Collect crabs from this Realm. We'll find a use for them later, maybe.""","""Crabs Collected"""
"""Unnatural Death""","""Knock on the doors of lodges in this Realm and kill everyone inside.""","""Hunter Packs Killed"""
"""Natural Selection""","""Find Imlers and Imlings in their natural habitats. Then, kill them.""","""Im Packs Killed"""
"""Miracles Gone Wrong""","""Wish upon some stars to see Unicorns. Then, kill them.""","""Unicorn Families Killed"""
"""We Come In Peace""","""Channel the spires in this Realm and defeat whatever pops out of them.""","""Invaders Killed"""
"""Unwanted Knowledge""","""Search the books and bookshelves in this Realm for Grimoires. Then, kill them.""","""Grimoires Killed"""
"""Better, Faster, Stronger, Dead""","""Use the time portals in this Realm to summon Phase Warriors. Then, kill them.""","""Phase Folk Killed"""
"""End of the Void""","""Close rifts in this Realm to keep your kingdom safe.""","""Rifts Closed"""
"""That Which Cannot Be Contained""","""Unleash Voidlords from their cages and kill them.""","""Voidlords Killed"""
"""Dreams Gone Wrong""","""Collect Essence nodes in this Realm to bolster "" + global.castlename + ""'s economy.""","""Essence Found"""
"""Spurt, Spurt, Spurt""","""Unleash geysers in this Realm to cover your enemies in a peculiar substance.""","""Geysers Unleashed"""
"""Cuteness Overwhelming""","""See those cute, cuddly wisps running around? Kill them.""","""Wisps Killed"""
"""Gifts for Tenebris""","""Collect Void Relics in this Realm to appease Tenebris, God of Shadow.","""Relics Obtained"""
"""Unearthed Secrets""","""Collect caches in this Realm to distribute to the poor and needy of "" + global.castlename + "".""","""Void Caches"""
"""Gatekeeper""","""Find a Void Portal in this Realm and destroy the enemies contained within.""","""Portal Cleansed"""
"""Aurum's Avarice""","""Find a gem-studded key and use it to open a giant treasure chest in this Realm.""","""Chest Opened"""
"""Taste the Rainbow""","""Drink from the small rainbow wells in this Realm.""","""Rainbow Wells"""
"""Rainbow Lights""","""Find the rainbow braziers in this Realm.""","""Rainbow Braziers"""
"""Another Dimension""","""Find a Rainbow Portal in this Realm and destroy the enemies contained within.""","""Portal Cleansed"""
"""Cute, Fluffy, Dead""","""Use horseshoes in this Realm to attract Carbuncles. Then, kill them.""","""Carbuncles Killed"""
"""My, What Big Eyes""","""Collect Giant Gems in this Realm to appease Aurum, God of Vanity.","""Gems Collected"""
"""The Little Things""","""Collect Gem Dust in this Realm to bolster "" + global.castlename + ""'s economy.""","""Gem Dust Collected"""
"""Crunch, Splat""","""Use the giant sacks of Gem Dust in this Realm to attract Crunchers. Then, kill them.""","""Crunchers Killed"""
"""Brains Destroyed By Brawn""","""Use the brains in this Realm to attract Soulflayers. Then, kill them.""","""Soulflayers Killed"""
"""Alms For The Poor""","""Find tithes in this Realm to appease Perdition, God of Extinction.","""Tithes Collected"""
"""Snuffed Out""","""Find Power nodes in this Realm to bolster "" + global.castlename + ""'s economy.""","""Power Collected"""
"""Mirror, Mirror""","""Use Shadow Mirrors in this Realm to attract Sins. Then, kill them.""","""Sins Killed"""
"""Which Switch Switches The Switcher?""","""Cleanse the dark obelisks in this Realm to keep "" + global.castlename + "" safe from harm.""","""Obelisks Cleansed"""
"""Sacrilege""","""Destroy the giant statues of kings in this Realm.""","""Statues Destroyed"""
"""Venedon's Request""","""Turn on the valves in this Realm. Don't ask questions.""","""Valves Turned On"""
"""Mama?""","""Find the baby oozelings in this Realm and squash them.""","""Oozes Killed"""
"""Click, Clack, Reload""","""Collect Brimstone nodes in this Realm to bolster "" + global.castlename + ""'s economy.""","""Brimstone Collected"""
"""Box of Supplies""","""Obtain supplies from the crates in this Realm to distribute to "" + global.castlename + ""'s citizens.""","""Supplies Collected"""
"""Glug, Glug, Glug""","""Drink the potions in this Realm.""","""Potions Used"""
"""The Many Uses of Parchment""","""Collect Parchment in this Realm for no good reason.""","""Parchment Collected"""
"""Apocranox's Request""","""Spring the traps in this Realm to appease Apocranox, God of the Hunt.","""Traps Sprung"""
"""Man-made Disaster""","""Find creatures that are trying to live peaceful lives in their caves and kill them.""","""Habitat Destroyed"""
"""Firewood, Again?""","""Collect wood and give it to the campers that live in tents in this Realm.""","""Wood Donated"""
"""Rare and Wondrous Resources""","""Collect Crystal nodes in this Realm to bolster "" + global.castlename + ""'s economy.""","""Crystal Collected"""
"""Annoying Song""","""Play the pipes in this Realm to attract Satyrs. Then, kill them.""","""Satyrs Killed"""
"""Does Anyone Actually Like This Stuff?""","""Collect squash in this Realm to feed "" + global.castlename + ""'s citizens.""",""""""
"""Who Needs Skin, Anyway?""","""Find Blood Effigies in this Realm to attract Clutchers. Then, kill them.""","""Clutchers Killed"""
"""They're Alive!""","""Use the charred bones in this Realm to attract Osseins. Then, kill them.""","""Osseins Killed"""
"""Blood Everywhere""","""Turn on the Blood Geysers in this Realm to weaken your enemies.""","""Geysers Unleashed"""
"""There's No Way This Is Granite""","""Collect Granite nodes in this Realm to bolster "" + global.castlename + ""'s economy.""","""Granite Collected"""
"""Of Blood And Bone""","""Find a key and use it to open a giant treasure chest in this Realm.""","""Chest Opened"""
"""It's Not Juice""","""Drink the Blood Wells in this Realm to appease Mortem, God of Blood.","""Blood Wells Consumed"""
"""A Little Rust""","""Speak with Everett to start your first battle.""",""""""
"""The Summoning Brazier""","""Use the Summoning Brazier to summon a new creature.""",""""""
"""Onward and Upward""","""Return to Everett.""",""""""
"""The Menagerie""","""Speak with Nortah at the Menagerie.""",""""""
"""Back and Forth""","""Return to Everett.""",""""""
"""To the Smitty!""","""Speak with Sabon the Blacksmith.""",""""""
"""Steel is the Answer""","""Forge a Sword.""",""""""
"""The Grind""","""Upgrade your Sword to Tier 3.""",""""""
"""Sockets and Such""","""Socket your Sword with a crafting material.""",""""""
"""The Final Touch""","""Equip one of your creatures with the Sword.""",""""""
"""All About Spell Gems""","""Speak with Rhea the Enchantress.""",""""""
"""First Things First""","""Craft a Spell Gem.""",""""""
"""Well-Armed""","""Equip one of your creatures with your new Spell Gem.""",""""""
"""All Work And No Play""","""Return to Everett.""",""""""
"""Destination: Blood Grove""","""Use the Teleportation Shrine to travel to the Blood Grove.""",""""""
"""God of the Hunt""","""Find Apocranox's altar in this realm.""",""""""
"""A Formidable Ally""","""Seek out and subdue Kiichi at Realm Depth 3.""",""""""
"""The Hunt Begins""","""Return to Everett.""",""""""
"""Onward We Go""","""Speak with Everett again.""",""""""
"""Destination: Frostbite Caverns""","""Travel to the Frostbite Caverns.""",""""""
"""God of Frost""","""Find Azural's altar in this realm.""",""""""
"""Myrtle the... Cruncher""","""Find and defeat Myrtle at Realm Depth 6.""",""""""
"""Time For Work""","""Return to Everett.""",""""""
"""All About Projects""","""Speak with Everett to learn about Projects.""",""""""
"""My First Project""","""Speak with Everett and start the Blacksmith (Rank 2) project.""",""""""
"""Destination: Caustic Reactor""","""Travel to the Caustic Reactor.""",""""""
"""God of Discord""","""Find Venedon's altar in this realm.""",""""""
"""Pumpkin Pie Haircutted Freak""","""Find and defeat Loid at Realm Depth 9.""",""""""
"""A Triumphant Return""","""Return to Everett.""",""""""
"""Decorator Extraordinaire""","""Switch to Decoration Mode and place the Fusion Station somewhere in your castle.""",""""""
"""Almost There...""","""Exit Decoration Mode and speak with Everett.""",""""""
"""Destination: Titan's Wound""","""Travel to the Titan's Wound.""",""""""
"""God of Blood""","""Find Mortem's altar in this realm.""",""""""
"""Quest For Thy Cater-cousins""","""Find Hebron and Damaos.""",""""""
"""Mixed Feelings""","""Return to Everett.""",""""""
"""Destination: Path of the Damned""","""Travel to the Path of the Damned.""",""""""
"""Goddess of Darkness""","""Find Erebyss' altar in this realm.""",""""""
"""A Tragic Death""","""Find and defeat Vlora at Realm Depth 15.""",""""""
"""Orb of Death""","""Return to Everett.""",""""""
"""Destination: The Swamplands""","""Travel to The Swamplands.""",""""""
"""God of Bliss""","""Find Meraxis's altar in this realm.""",""""""
"""Meraxis's Trial""","""Overcome Meraxis's trial at Realm Depth 18.""",""""""
"""Orb of Nature""","""Return to Everett.""",""""""
"""Destination: Refuge of the Magi""","""Travel to the Refuge of the Magi.""",""""""
"""God of Wisdom""","""Find Zonte's altar in this realm.""",""""""
"""A Timely Rescue""","""Find the Soulflayer at Realm Depth 21.""",""""""
"""Orb of Sorcery""","""Return to Everett.""",""""""
"""Destination: Great Pandemonium""","""Travel to the Great Pandemonium.""",""""""
"""God of Fire""","""Find Vulcanar's altar in this realm.""",""""""
"""Spoonor""","""Find Spoonor at Realm Depth 24 and convince him to hand over the Chaos Orb.""",""""""
"""Orb of Chaos""","""Return to Everett.""",""""""
"""Destination: Azure Dream""","""Travel to the Azure Dream.""",""""""
"""Goddess of Light""","""Find Surathli's altar in this realm.""",""""""
"""Trial of Surathli""","""Overcome Surathli's trial at Realm Depth 27.""",""""""
"""Orb of Life""","""Return to Everett.""",""""""
"""Destination: Temple of Lies""","""Travel to the Temple of Lies.""",""""""
"""God of Vanity""","""Find Aurum's altar in this realm.""",""""""
"""Vitja Games""","""Defeat Vitja and her Gemlings at Realm Depth 30.""",""""""
"""Tying It All Together""","""Return to Everett.""",""""""
"""Destination: Eternity's End""","""Travel to Eternity's End.""",""""""
"""God of Time""","""Find Vertraag's altar in this realm.""",""""""
"""Imp Impington""","""Find and defeat Imp Impington at Realm Depth 33.""",""""""
"""A Slight Miscalculation""","""Return to Everett.""",""""""
"""Destination: Eternity's End""","""Travel to Eternity's End.""",""""""
"""An Unknown God""","""Find an altar in this realm.""",""""""
"""Harlot Hitman""","""Find and defeat Etta at Realm Depth 36.""",""""""
"""Third Time's A Charm""","""Return to Everett.""",""""""
"""Destination: Eternity's End""","""Travel to Eternity's End.""",""""""
"""God of Time""","""Find Vertraag's altar in this realm.""",""""""
"""The King of Nex""","""Find and defeat the King of Nex at Realm Depth 39.""",""""""
"""Rescue Mission""","""Return to Everett.""",""""""
"""Destination: Where the Dead Ships Dwell""","""Travel to Where the Dead Ships Dwell.""",""""""
"""God of the Sea""","""Find Friden's altar in this realm.""",""""""
"""Not Much To Go On""","""Find the beach.""",""""""
